rfid_uid,Book Number ,Title,Author ,Ed./Vol.,Publisher place,Publisher,Year,Page(s),Class No.,Programme/ Dicipline,,,,Withdrawn Date,Remarks,ISBN /ISSN,Subject,Text/Reference,"Depriciated value
(Till 01-04-2022)"
,B056,Effective Technical Communication,"Rizvi, M. Ashraf.",26th,New Delhi, McGraw Hill Education.Hill,2013,"xxii, 545 p.",808.066 RIZ,Soft & Technical Skills,,,,,,9.78007E+12,Soft & Technical Skills,,
,B057,Effective Technical Communication,"Rizvi, M. Ashraf.",26th,New Delhi, McGraw Hill Education.Hill,2013,"xxii, 545 p.",808.066 RIZ,Soft & Technical Skills,,,,,,9.78007E+12,Soft & Technical Skills,,
,B058,Effective Technical Communication,"Rizvi, M. Ashraf.",26th,New Delhi, McGraw Hill Education.Hill,2013,"xxii, 545 p.",808.066 RIZ,Soft & Technical Skills,,,,,,9.78007E+12,Soft & Technical Skills,,
,B059,Business Correspondence and INTERNSHIP REPORT Writing,"Sharma, R C.",4th,New Delhi, McGraw Hill Education.Hill,2015,"xx, 514 p.",651.7 SHA,Management (BBA),,,,,,9.78007E+12,Management (BBA),,
,B060,Business Correspondence and INTERNSHIP REPORT Writing,"Sharma, R C.",4th,New Delhi, McGraw Hill Education.Hill,2015,"xx, 514 p.",651.7 SHA,Management (BBA),,,,,,9.78007E+12,Management (BBA),,
,B061,Business Correspondence and INTERNSHIP REPORT Writing,"Sharma, R C.",4th,New Delhi, McGraw Hill Education.Hill,2015,"xx, 514 p.",651.7 SHA,Management (BBA),,,,,,9.78007E+12,Management (BBA),,
,B062,Business Correspondence and INTERNSHIP REPORT Writing,"Sharma, R C.",4th,New Delhi, McGraw Hill Education.Hill,2015,"xx, 514 p.",651.7 SHA,Management (BBA),,,,,,9.78007E+12,Management (BBA),,
,B063,Business Correspondence and INTERNSHIP REPORT Writing,"Sharma, R C.",4th,New Delhi, McGraw Hill Education.Hill,2015,"xx, 514 p.",651.7 SHA,Management (BBA),,,,,,9.78007E+12,Management (BBA),,
,B064,Business Correspondence and INTERNSHIP REPORT Writing,"Sharma, R C.",4th,New Delhi, McGraw Hill Education.Hill,2015,"xx, 514 p.",651.7 SHA,Management (BBA),,,,,,9.78007E+12,Management (BBA),,
,B065,Business Correspondence and INTERNSHIP REPORT Writing,"Sharma, R C.",4th,New Delhi, McGraw Hill Education.Hill,2015,"xx, 514 p.",651.7 SHA,Management (BBA),,,,,,9.78007E+12,Management (BBA),,
,B066,Business Correspondence and INTERNSHIP REPORT Writing,"Sharma, R C.",4th,New Delhi, McGraw Hill Education.Hill,2015,"xx, 514 p.",651.7 SHA,Management (BBA),,,,,,9.78007E+12,Management (BBA),,
,B067,Business Correspondence and INTERNSHIP REPORT Writing,"Sharma, R C.",4th,New Delhi, McGraw Hill Education.Hill,2015,"xx, 514 p.",651.7 SHA,Management (BBA),,,,,,9.78007E+12,Management (BBA),,
,B068,Business Correspondence and INTERNSHIP REPORT Writing,"Sharma, R C.",4th,New Delhi, McGraw Hill Education.Hill,2015,"xx, 514 p.",651.7 SHA,Management (BBA),,,,,,9.78007E+12,Management (BBA),,
,B069,Business Communication : Principles to Practice,"Monippally, Matthukutty M.",,New Delhi, McGraw Hill Education.Hill,2013,"x, 419 p.",658.45 MON,Soft & Technical Skills,,,,,,9.78126E+12,Soft & Technical Skills,,
,B070,Business Communication : Principles to Practice,"Monippally, Matthukutty M.",,New Delhi, McGraw Hill Education.Hill,2013,"x, 419 p.",658.45 MON,Soft & Technical Skills,,,,,,9.78126E+12,Soft & Technical Skills,,
,B071,Business Communication : Principles to Practice,"Monippally, Matthukutty M.",,New Delhi, McGraw Hill Education.Hill,2013,"x, 419 p.",658.45 MON,Soft & Technical Skills,,,,,,9.78126E+12,Soft & Technical Skills,,
,B072,Business Communication : Principles to Practice,"Monippally, Matthukutty M.",,New Delhi, McGraw Hill Education.Hill,2013,"x, 419 p.",658.45 MON,Soft & Technical Skills,,,,,,9.78126E+12,Soft & Technical Skills,,
,B073,Business Communication : Principles to Practice,"Monippally, Matthukutty M.",,New Delhi, McGraw Hill Education.Hill,2013,"x, 419 p.",658.45 MON,Soft & Technical Skills,,,,,,9.78126E+12,Soft & Technical Skills,,
,B074,Shreve's Chemical Process Industries,"Austin, George T.",5th,New Delhi, McGraw Hill Education.Hill,2015,"ix, 859 p.",660 AUS,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B075,Shreve's Chemical Process Industries,"Austin, George T.",5th,New Delhi, McGraw Hill Education.Hill,2015,"ix, 859 p.",660 AUS,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B076,Shreve's Chemical Process Industries,"Austin, George T.",5th,New Delhi, McGraw Hill Education.Hill,2015,"ix, 859 p.",660 AUS,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B077,Shreve's Chemical Process Industries,"Austin, George T.",5th,New Delhi, McGraw Hill Education.Hill,2015,"ix, 859 p.",660 AUS,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B078,Shreve's Chemical Process Industries,"Austin, George T.",5th,New Delhi, McGraw Hill Education.Hill,2015,"ix, 859 p.",660 AUS,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B079,C : The Complete Reference,"Schildt, Herbert",4th,New Delhi, McGraw Hill Education.Hill,2015,"xxvi, 805 p.",005.133 SCH,Computer Engineering (B.Tech),,,,,,9.78007E+12,Computer Engineering (B.Tech),,
,B080,Programming in C,"Kamthane, Ashok N.",2nd,New Delhi, Pearson india Education Services Pvt. Ltd.,2013,"x, 658 p.",005.133 KAM,Computer Engineering (B.Tech),,,,,,9.78813E+12,Computer Engineering (B.Tech),,
,B081,Vogel's Textbook of Quantitative Chemical Analysis,"Vogel, Arthur I.",6th,New Delhi, Pearson india Education Services Pvt. Ltd.,2014,"xxix, 790 p.",547.34 VOG,Chemical Engineering (B.Tech),,,,,,9.78813E+12,Chemical Engineering (B.Tech),,
,B082,Vogel's Textbook of Quantitative Chemical Analysis,"Vogel, Arthur I.",6th,New Delhi, Pearson india Education Services Pvt. Ltd.,2014,"xxix, 790 p.",547.34 VOG,Chemical Engineering (B.Tech),,,,,,9.78813E+12,Chemical Engineering (B.Tech),,
,B083,Business Communication,"Kaul, Asha",2nd,New Delhi, PHI Learning Pvt. Ltd. Learning,2014,"xv, 254 p.",658.45 KAU,Soft & Technical Skills,,,,,,9.78812E+12,Soft & Technical Skills,,
,B084,Business Communication,"Kaul, Asha",2nd,New Delhi, PHI Learning Pvt. Ltd. Learning,2014,"xv, 254 p.",658.45 KAU,Soft & Technical Skills,,,,,,9.78812E+12,Soft & Technical Skills,,
,B085,Business Communication,"Kaul, Asha",2nd,New Delhi, PHI Learning Pvt. Ltd. Learning,2014,"xv, 254 p.",658.45 KAU,Soft & Technical Skills,,,,,,9.78812E+12,Soft & Technical Skills,,
,B086,Business Communication,"Kaul, Asha",2nd,New Delhi, PHI Learning Pvt. Ltd. Learning,2014,"xv, 254 p.",645.45 KAU,Soft & Technical Skills,,,,,,9.78812E+12,Soft & Technical Skills,,
,B087,Business Communication,"Kaul, Asha",2nd,New Delhi, PHI Learning Pvt. Ltd. Learning,2014,"xv, 254 p.",658.45 KAU,Soft & Technical Skills,,,,,,9.78812E+12,Soft & Technical Skills,,
,B088,Calculus : Applied Mathematics for Engineering Series,"Shah, R C",8th,New Delhi, Book India,2015,"xiv, 550 p.",515 SHA,Mathematics,,,,,,9.78938E+12,Mathematics,,
,B089,Calculus : Applied Mathematics for Engineering Series,"Shah, R C",8th,New Delhi, Book India,2015,"xiv, 550 p.",515 SHA,Mathematics,,,,,,9.78938E+12,Mathematics,,
,B090,Calculus : Applied Mathematics for Engineering Series,"Shah, R C",8th,New Delhi, Book India,2015,"xiv, 550 p.",515 SHA,Mathematics,,,,,,9.78938E+12,Mathematics,,
,B091,Calculus : Applied Mathematics for Engineering Series,"Shah, R C",8th,New Delhi, Book India,2015,"xiv, 550 p.",515 SHA,Mathematics,,,,,,9.78938E+12,Mathematics,,
,B092,Calculus : Applied Mathematics for Engineering Series,"Shah, R C",8th,New Delhi, Book India,2015,"xiv, 550 p.",515 SHA,Mathematics,,,,,,9.78938E+12,Mathematics,,
,B093,Environmental Chemistry,"Sharma, B. K.",,New Delhi, Goel Pub,2012,"xvi, var.",577.14 SHA,Chemistry (B.Sc),,,,,,9.78818E+12,Chemistry (B.Sc),,
,B094,Environmental Chemistry,"Sharma, B. K.",,New Delhi, Goel Pub,2012,"xvi, var.",577.14 SHA,Chemistry (B.Sc),,,,,,9.78818E+12,Chemistry (B.Sc),,
,B095,Environmental Chemistry,"Sharma, B. K.",,New Delhi, Goel Pub,2012,"xvi, var.",577.14 SHA,Chemistry (B.Sc),,,,,,9.78818E+12,Chemistry (B.Sc),,
,B096,Engineering Chemistry,Jain Jain,16th,New Delhi, Dhanpat Rai,2015,"xii, 1404 p.",660.2 JAI,Chemistry (B.Sc),,,,,,9.78935E+12,Chemistry (B.Sc),,
,B097,Engineering Chemistry,Jain Jain,,New Delhi, Dhanpat Rai,2015,"xii, 1404 p.",660.2 JAI,Chemistry (B.Sc),,,,,,9.78935E+12,Chemistry (B.Sc),,
,B098,Engineering Chemistry,Jain Jain,,New Delhi, Dhanpat Rai,2015,"xii, 1404 p.",660.2 JAI,Chemistry (B.Sc),,,,,,9.78935E+12,Chemistry (B.Sc),,
,B099,Engineering Chemistry,Jain Jain,,New Delhi, Dhanpat Rai,2015,"xii, 1404 p.",660.2 JAI,Chemistry (B.Sc),,,,,,9.78935E+12,Chemistry (B.Sc),,
,B100,Engineering Chemistry,Jain Jain,,New Delhi, Dhanpat Rai,2015,"xii, 1404 p.",660.2 JAI,Chemistry (B.Sc),,,,,,9.78935E+12,Chemistry (B.Sc),,
,B101,Engineering Chemistry,Jain Jain,,New Delhi, Dhanpat Rai,2015,"xii, 1404 p.",660.2 JAI,Chemistry (B.Sc),,,,,,9.78935E+12,Chemistry (B.Sc),,
,B102,Engineering Chemistry,Jain Jain,,New Delhi, Dhanpat Rai,2015,"xii, 1404 p.",660.2 JAI,Chemistry (B.Sc),,,,,,9.78935E+12,Chemistry (B.Sc),,
,B103,Engineering Chemistry,Jain Jain,,New Delhi, Dhanpat Rai,2015,"xii, 1404 p.",660.2 JAI,Chemistry (B.Sc),,,,,,9.78935E+12,Chemistry (B.Sc),,
,B104,Engineering Chemistry,Jain Jain,,New Delhi, Dhanpat Rai,2015,"xii, 1404 p.",660.2 JAI,Chemistry (B.Sc),,,,,,9.78935E+12,Chemistry (B.Sc),,
,B105,Engineering Chemistry,Jain Jain,16th,New Delhi, Dhanpat Rai,2015,"xii, 1404 p.",660.2 JAI,Chemistry (B.Sc),,,,,,9.78935E+12,Chemistry (B.Sc),,
,B106,A Textbook of Organic Chemistry,"Bahl, Arun; Bahl, B S",,New Delhi, S. Chand,2015,1073 p.,547 BAH,Chemistry (B.Sc),,,,,,9.78812E+12,Chemistry (B.Sc),,
,B107,A Textbook of Organic Chemistry,"Bahl, Arun; Bahl, B S",,New Delhi, S. Chand,2015,1073 p.,547 BAH,Chemistry (B.Sc),,,,,,9.78812E+12,Chemistry (B.Sc),,
,B108,A Textbook of Organic Chemistry,"Bahl, Arun; Bahl, B S",,New Delhi, S. Chand,2015,1073 p.,547 BAH,Chemistry (B.Sc),,,,,,9.78812E+12,Chemistry (B.Sc),,
,B109,Essential of Physical Chemistry,"Bahl, Arun",,New Delhi, S. Chand,2014,"xvii, 1262 p.",541.3 BAH,Chemistry (B.Sc),,,,,,9.78812E+12,Chemistry (B.Sc),,
,B110,Essential of Physical Chemistry,"Bahl, Arun",,New Delhi, S. Chand,2014,"xvii, 1262 p.",541.3 BAH,Chemistry (B.Sc),,,,,,9.78812E+12,Chemistry (B.Sc),,
,B111,Essential of Physical Chemistry,"Bahl, Arun",,New Delhi, S. Chand,2014,"xvii, 1262 p.",541.3 BAH,Chemistry (B.Sc),,,,,,9.78812E+12,Chemistry (B.Sc),,
,B112,Essential of Physical Chemistry,"Bahl, Arun",,New Delhi, S. Chand,2014,"xvii, 1262 p.",541.3 BAH,Chemistry (B.Sc),,,,,,9.78812E+12,Chemistry (B.Sc),,
,B113,Essential of Physical Chemistry,"Bahl, Arun",,New Delhi, S. Chand,2014,"xvii, 1262 p.",541.3 BAH,Chemistry (B.Sc),,,,,,9.78812E+12,Chemistry (B.Sc),,
,B114,A Textbook of Engineering Chemistry,"Dara, S S; Umare, S S",,New Delhi, S. Chand,2014,"xvi, 972 p.",660 DAR,Chemical Engineering (B.Tech),,,,,,8121903599,Chemical Engineering (B.Tech),,
,B115,A Textbook of Engineering Chemistry,"Dara, S S; Umare, S S",,New Delhi, S. Chand,2014,"xvi, 972 p.",660 DAR,Chemical Engineering (B.Tech),,,,,,8121903599,Chemical Engineering (B.Tech),,
,B116,A Textbook of Engineering Chemistry,"Dara, S S; Umare, S S",,New Delhi, S. Chand,2014,"xvi, 972 p.",660 DAR,Chemical Engineering (B.Tech),,,,,,8121903599,Chemical Engineering (B.Tech),,
,B117,A Textbook of Engineering Chemistry,"Dara, S S; Umare, S S",,New Delhi, S. Chand,2014,"xvi, 972 p.",660 DAR,Chemical Engineering (B.Tech),,,,,,8121903599,Chemical Engineering (B.Tech),,
,B118,A Textbook of Engineering Chemistry,"Dara, S S; Umare, S S",,New Delhi, S. Chand,2014,"xvi, 972 p.",660 DAR,Chemical Engineering (B.Tech),,,,,,8121903599,Chemical Engineering (B.Tech),,
,B119,Industrial Chemistry : Including Chemical Engineering,"Sharma, B K",18th,New Delhi, Goel Pub,2014,xxiv; 1760 p. xvi,660 SHA,Chemical Engineering (B.Tech),,,,,,9.78818E+12,Chemical Engineering (B.Tech),,
,B120,Industrial Chemistry : Including Chemical Engineering,"Sharma, B K",18th,New Delhi, Goel Pub,2014,xxiv; 1760 p. xvi,660 SHA,Chemical Engineering (B.Tech),,,,,,9.78818E+12,Chemical Engineering (B.Tech),,
,B121,Industrial Chemistry : Including Chemical Engineering,"Sharma, B K",18th,New Delhi, Goel Pub,2014,xxiv; 1760 p. xvi,660 SHA,Chemical Engineering (B.Tech),,,,,,9.78818E+12,Chemical Engineering (B.Tech),,
,B122,Industrial Chemistry : Including Chemical Engineering,"Sharma, B K",18th,New Delhi, Goel Pub,2014,xxiv; 1760 p. xvi,660 SHA,Chemical Engineering (B.Tech),,,,,,9.78818E+12,Chemical Engineering (B.Tech),,
,B123,Industrial Chemistry : Including Chemical Engineering,"Sharma, B K",18th,New Delhi, Goel Pub,2014,xxiv; 1760 p. xvi,660 SHA,Chemical Engineering (B.Tech),,,,,,9.78818E+12,Chemical Engineering (B.Tech),,
